main_set,subset,year,card_number,card_name
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-20,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-21,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-22,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-23,Captain America / Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-24,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-25,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-26,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-27,Hulkbuster
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-28,Hulkbuster / Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-29,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-3,Collector
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-30,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-31,Hulkbuster
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-32,Hulkbuster / Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-33,Hulkbuster / Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-34,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-35,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-4,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-5,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-6,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-7,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-8,Thor / Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Chase Sticker Rainbow,2023,S-9,Hulk / Black Widow
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-1,Star-Lord
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-10,Hulk / Black Widow
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-12,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-15,Doctor Strange / Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-16,Doctor Strange / Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-18,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-19,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-20,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-21,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-23,Captain America / Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-24,Red Skull
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-25,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-26,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-27,Hulkbuster / Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-3,Collector
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-30,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-31,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-32,Hulkbuster
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-34,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-35,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-4,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-5,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-6,Thor / Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Shorts Confetti Bomb,2023,S-8,Hulk / Black Widow
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Sketch Artists,2023,NNO,Elizabeth BrockmanSKH
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,2,Ancient One
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,3,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,11,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,12,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,20,Carol Danvers
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,33,Erik Killmonger
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,36,Ghost
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,40,Groot
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,57,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,63,Nakia
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,64,Nebula
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,73,Spider-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,80,Thanos
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,90,Valkyrie
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum,2023,98,Wong
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,1,Agent 13
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,2,Ancient One
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,3,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,4,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,5,Black Panther
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,6,Black Panther
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,7,Black Panther
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,8,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,9,Black Widow
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,10,Bucky Barnes
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,11,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,12,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,13,Captain America
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,14,Vers
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,15,Captain Marvel
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,16,Yon-Rogg
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,17,Carol Danvers
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,18,Carol Danvers
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,19,Captain Marvel
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,20,Carol Danvers
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,21,The Collector
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,22,Corvus Glaive
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,23,Cosmo
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,24,Crossbones
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,25,Crossbones
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,26,Cull Obsidian
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,27,Dancing Groot
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,28,Dark Elf
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,29,Doctor Strange
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,30,Doctor Strange
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,31,Drax
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,32,Ebony Maw
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,33,Erik Killmonger
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,34,Falcon
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,35,Gamora
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,36,Ghost
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,37,Ant-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,38,Goose the Cat
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,39,Grandmaster
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,40,Groot
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,41,Baby Groot
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,42,Black Widow
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,43,Captain Marvel
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,44,Hawkeye
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,45,Hawkeye
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,46,Hulk
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,47,Iron Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,48,Captain Marvel
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,49,Iron Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,50,Iron Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,51,Korg Gamer
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,52,Erik Killmonger
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,53,Kaecilius
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,54,Korath
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,55,Korg
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,56,Kraglin
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,57,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,58,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,59,Erik Killmonger
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,60,M'Baku
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,61,Minn-Erva
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,62,Karl Mordo
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,63,Nakia
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,64,Nebula
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,65,Hulk
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,66,Nick Fury
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,67,Heimdall
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,68,Rocket
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,69,Ronan
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,70,Wanda Maximoff
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,71,Wanda Maximoff
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,72,Shuri
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,73,Spider-Man
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,74,Star-Lord
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,75,Rocket
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,76,Star-Lord
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,77,Stonekeeper
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,78,Talos
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,79,T'Challa
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,80,Thanos
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,81,Hulk
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,82,Lady Sif
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,83,Thanos
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,84,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,85,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,86,Loki
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,87,Maria Rambeau
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,88,Ultron
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,89,Ulysses Klaue
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,90,Valkyrie
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,91,Odin
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,92,Vision
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,93,Star-Lord
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,94,War Machine
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,95,War Machine
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,96,Thor
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,97,Winter Soldier
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,98,Wong
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,99,Yellowjacket
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Spectrum Facsimile Signature,2023,100,Tony Stark
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-1,Halloween Wanda PR100
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-2,Halloween Vision PR100
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-3,US AgentPR100
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-4,Scarlet WitchPR25
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-5,Captain AmericaPR25
2023 Upper Deck Funko Pop Marvel Infinity Saga,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,2023,A-6,President Loki PR25
2023 Upper Deck Marvel Allegiance: Avengers vs X-Men,2023 Upper Deck Marvel Allegiance: Avengers vs X-Men - A Cosmic Journey Printing Plates Black,2023,PJ1,Uncanny X-Men #101
2023 Upper Deck Marvel Allegiance: Avengers vs X-Men,2023 Upper Deck Marvel Allegiance: Avengers vs X-Men - A Cosmic Journey Printing Plates Black,2023,PJ10,Uncanny X-Men (1963) #134
2023 Upper Deck Marvel Allegiance: Avengers vs X-Men,2023 Upper Deck Marvel Allegiance: Avengers vs X-Men - A Cosmic Journey Printing Plates Black,2023,PJ11,X-Men: Age of Apocalypse (2005) #5
2023 Upper Deck Marvel Allegiance: Avengers vs X-Men,2023 Upper Deck Marvel Allegiance: Avengers vs X-Men - A Cosmic Journey Printing Plates Black,2023,PJ12,The Mighty Thor (2015) #19
